BAIT_GENE_ID	BAIT_OFFICIAL_SYMBOL	PREY_GENE_ID	PREY_OFFICIAL_SYMBOL	EXPERIMENTAL_SYSTEM
1432	MAPK14	166	AES	Two-Hybrid
1432	MAPK14	1843	DUSP1	Two-Hybrid
5879	RAC1	5058	PAK1	Two-Hybrid
998	CDC42	396	ARHGDIA	Two-Hybrid
1432	MAPK14	2316	FLNA	Two-Hybrid
5058	PAK1	8874	ARHGEF7	Two-Hybrid
4802	NFYC	4800	NFYA	Two-Hybrid
998	CDC42	5058	PAK1	Two-Hybrid
3265	HRAS	5900	RALGDS	Two-Hybrid
5879	RAC1	5062	PAK2	Two-Hybrid
998	CDC42	5062	PAK2	Two-Hybrid
1432	MAPK14	2872	MKNK2	Two-Hybrid
7531	YWHAE	7529	YWHAB	Two-Hybrid
4802	NFYC	4801	NFYB	Two-Hybrid
7534	YWHAZ	7531	YWHAE	Two-Hybrid
998	CDC42	7316	UBC	Two-Hybrid
7329	UBE2I	8554	PIAS1	Two-Hybrid
7329	UBE2I	10401	PIAS3	Two-Hybrid
998	CDC42	408	ARRB1	Two-Hybrid
998	CDC42	409	ARRB2	Two-Hybrid
1432	MAPK14	3096	HIVEP1	Two-Hybrid
1432	MAPK14	4208	MEF2C	Two-Hybrid
4208	MEF2C	5598	MAPK7	Two-Hybrid
1432	MAPK14	4209	MEF2D	Two-Hybrid
2885	GRB2	1601	DAB2	Two-Hybrid
2885	GRB2	5295	PIK3R1	Two-Hybrid
2885	GRB2	5296	PIK3R2	Two-Hybrid
2885	GRB2	8871	SYNJ2	Two-Hybrid
2885	GRB2	8976	WASL	Two-Hybrid
3725	JUN	2353	FOS	Two-Hybrid
3725	JUN	468	ATF4	Two-Hybrid
6654	SOS1	6453	ITSN1	Two-Hybrid
7531	YWHAE	572	BAD	Two-Hybrid
7531	YWHAE	9759	HDAC4	Two-Hybrid
11335	CBX3	10155	TRIM28	Two-Hybrid
2885	GRB2	10451	VAV3	Two-Hybrid
2885	GRB2	867	CBL	Two-Hybrid
4149	MAX	4609	MYC	Two-Hybrid
5879	RAC1	5910	RAP1GDS1	Two-Hybrid
7531	YWHAE	25937	WWTR1	Two-Hybrid
7532	YWHAG	7128	TNFAIP3	Two-Hybrid
324	APC	3728	JUP	Two-Hybrid
998	CDC42	1447	CSN2	Two-Hybrid
7532	YWHAG	3875	KRT18	Two-Hybrid
7534	YWHAZ	572	BAD	Two-Hybrid
2885	GRB2	10188	TNK2	Two-Hybrid
2885	GRB2	10657	KHDRBS1	Two-Hybrid
2885	GRB2	6655	SOS2	Two-Hybrid
7532	YWHAG	23136	EPB41L3	Two-Hybrid
6721	SREBF2	6667	SP1	Two-Hybrid
7534	YWHAZ	7128	TNFAIP3	Two-Hybrid
9448	MAP4K4	6548	SLC9A1	Two-Hybrid
1495	CTNNA1	3728	JUP	Two-Hybrid
2885	GRB2	4582	MUC1	Two-Hybrid
2885	GRB2	868	CBLB	Two-Hybrid
6280	S100A9	6279	S100A8	Two-Hybrid
5879	RAC1	8871	SYNJ2	Two-Hybrid
2885	GRB2	2889	RAPGEF1	Two-Hybrid
6721	SREBF2	7329	UBE2I	Two-Hybrid
998	CDC42	1730	DIAPH2	Two-Hybrid
2885	GRB2	2549	GAB1	Two-Hybrid
7329	UBE2I	2804	GOLGB1	Two-Hybrid
2885	GRB2	9846	GAB2	Two-Hybrid
998	CDC42	4512	COX1	Two-Hybrid
998	CDC42	4646	MYO6	Two-Hybrid
998	CDC42	4649	MYO9A	Two-Hybrid
998	CDC42	5063	PAK3	Two-Hybrid
7329	UBE2I	5393	EXOSC9	Two-Hybrid
7329	UBE2I	5903	RANBP2	Two-Hybrid
998	CDC42	5910	RAP1GDS1	Two-Hybrid
1432	MAPK14	4820	NKTR	Two-Hybrid
2885	GRB2	399687	MYO18A	Two-Hybrid
2885	GRB2	7316	UBC	Two-Hybrid
3265	HRAS	5863	RGL2	Two-Hybrid
4215	MAP3K3	10987	COPS5	Two-Hybrid
5058	PAK1	147686	ZNF418	Two-Hybrid
5597	MAPK6	8550	MAPKAPK5	Two-Hybrid
5879	RAC1	50649	ARHGEF4	Two-Hybrid
7531	YWHAE	65125	WNK1	Two-Hybrid
7531	YWHAE	84218	TBC1D3F	Two-Hybrid
7532	YWHAG	23327	NEDD4L	Two-Hybrid
7534	YWHAZ	65125	WNK1	Two-Hybrid
1432	MAPK14	6091	ROBO1	Two-Hybrid
1432	MAPK14	6711	SPTBN1	Two-Hybrid
7329	UBE2I	6047	RNF4	Two-Hybrid
998	CDC42	6146	RPL22	Two-Hybrid
3265	HRAS	23179	RGL1	Two-Hybrid
998	CDC42	6280	S100A9	Two-Hybrid
7329	UBE2I	6672	SP100	Two-Hybrid
998	CDC42	6767	ST13	Two-Hybrid
7329	UBE2I	7329	UBE2I	Two-Hybrid
998	CDC42	7444	VRK2	Two-Hybrid
998	CDC42	7454	WAS	Two-Hybrid
7531	YWHAE	10971	YWHAQ	Two-Hybrid
5879	RAC1	57514	ARHGAP31	Two-Hybrid
1432	MAPK14	6942	TCF20	Two-Hybrid
7532	YWHAG	7531	YWHAE	Two-Hybrid
369	ARAF	399687	MYO18A	Two-Hybrid
369	ARAF	7531	YWHAE	Two-Hybrid
369	ARAF	7534	YWHAZ	Two-Hybrid
673	BRAF	5062	PAK2	Two-Hybrid
673	BRAF	55580	CCDC88A	Two-Hybrid
998	CDC42	7728	ZNF175	Two-Hybrid
7329	UBE2I	7750	ZMYM2	Two-Hybrid
998	CDC42	8476	CDC42BPA	Two-Hybrid
998	CDC42	8888	MCM3AP	Two-Hybrid
1432	MAPK14	7701	ZNF142	Two-Hybrid
1432	MAPK14	8550	MAPKAPK5	Two-Hybrid
