source	target
2009 Annual Data Report to the Center Directors	cystic fibrosis foundation patient registry
A new method for the model-independent assessment of thickness in three-dimensional images	hildebrand t
A new method for the model-independent assessment of thickness in three-dimensional images	ruegsegger p
A new method for the model-independent assessment of thickness in three-dimensional images	SWISS FED INST TECHNOL
A new method for the model-independent assessment of thickness in three-dimensional images	"SWISS FED INST TECHNOL,CH-8044 ZURICH,SWITZERLAND"
A new method for the model-independent assessment of thickness in three-dimensional images	Swiss Federal Institute of Technology Zurich
A PRELIMINARY-STUDY ON THE EFFECT OF ANTIINFLAMMATORY TREATMENT IN CYSTIC-FIBROSIS PATIENTS WITH PSEUDOMONAS-AERUGINOSA LUNG INFECTION	cerquetti mc
A PRELIMINARY-STUDY ON THE EFFECT OF ANTIINFLAMMATORY TREATMENT IN CYSTIC-FIBROSIS PATIENTS WITH PSEUDOMONAS-AERUGINOSA LUNG INFECTION	CTR ESTUDIOS FARMACOL & BOT
A PRELIMINARY-STUDY ON THE EFFECT OF ANTIINFLAMMATORY TREATMENT IN CYSTIC-FIBROSIS PATIENTS WITH PSEUDOMONAS-AERUGINOSA LUNG INFECTION	"CTR ESTUDIOS FARMACOL & BOT,BUENOS AIRES,ARGENTINA"
A PRELIMINARY-STUDY ON THE EFFECT OF ANTIINFLAMMATORY TREATMENT IN CYSTIC-FIBROSIS PATIENTS WITH PSEUDOMONAS-AERUGINOSA LUNG INFECTION	HOSP NINOS DR RICARDO GUTIERREZ
A PRELIMINARY-STUDY ON THE EFFECT OF ANTIINFLAMMATORY TREATMENT IN CYSTIC-FIBROSIS PATIENTS WITH PSEUDOMONAS-AERUGINOSA LUNG INFECTION	"HOSP NINOS DR RICARDO GUTIERREZ,BUENOS AIRES,ARGENTINA"
A PRELIMINARY-STUDY ON THE EFFECT OF ANTIINFLAMMATORY TREATMENT IN CYSTIC-FIBROSIS PATIENTS WITH PSEUDOMONAS-AERUGINOSA LUNG INFECTION	INST NACL GENET MED
A PRELIMINARY-STUDY ON THE EFFECT OF ANTIINFLAMMATORY TREATMENT IN CYSTIC-FIBROSIS PATIENTS WITH PSEUDOMONAS-AERUGINOSA LUNG INFECTION	"INST NACL GENET MED,BUENOS AIRES,ARGENTINA"
A PRELIMINARY-STUDY ON THE EFFECT OF ANTIINFLAMMATORY TREATMENT IN CYSTIC-FIBROSIS PATIENTS WITH PSEUDOMONAS-AERUGINOSA LUNG INFECTION	macri cn
A PRELIMINARY-STUDY ON THE EFFECT OF ANTIINFLAMMATORY TREATMENT IN CYSTIC-FIBROSIS PATIENTS WITH PSEUDOMONAS-AERUGINOSA LUNG INFECTION	maillie aj
A PRELIMINARY-STUDY ON THE EFFECT OF ANTIINFLAMMATORY TREATMENT IN CYSTIC-FIBROSIS PATIENTS WITH PSEUDOMONAS-AERUGINOSA LUNG INFECTION	sordelli do
