GENE 1	GENE 1 ID	GENE 2	GENE 2 ID	Untreated (Sscore)	MMS (Sscore) 	log10(conditional pvalue) 
RAD52	854976	CTF8	856598	3.243539	2.537426	15
YMR291W		CLN1	855239	2.371671	2.907508	15
CLN1	855239	DCC1	850344	4.242654	3.101046	15
CLN1	855239	PRK1	854713	3.711272	2.788528	15
CTK1	853718	RXT2	852392	2.967701	3.163451	15
CLN1	855239	MAL13	853205	2.55186	3.013471	15
RCS1		RPN4	851542	2.44314	2.88957	15
HAP5	854540	CLN1	855239	3.376172	2.307527	15
RPH1	856916	RAD51	856831	2.325141	2.428403	15
SKY1	855256	PTK2	853522	19.786578	7.078601	13.794
IXR1	853836	RCS1		1.393317	3.140747	13.591
HMS1	854197	CLN1	855239	2.798581	2.02011	13.402
CLB5	856237	RCS1		2.553089	2.064627	13.366
SKN7	856613	PTC1	851558	9.396223	0.805216	13.117
RCS1		UME6	851788	2.509411	2.031961	12.953
NUT1	852726	PTC1	851558	1.840492	1.771781	12.288
RCS1		RAD51	856831	1.175919	3.303738	12.288
PTK1	853635	PTK2	853522	14.730144	2.997239	11.871
CLN1	855239	YOX1	854981	1.365929	2.745303	11.308
ARK1	855711	PRK1	854713	19.425021	8.056605	11.19
ROX1	856178	RCS1		1.42877	2.363168	11.061
RAD52	854976	SKN7	856613	7.669674	1.482472	10.703
RAD52	854976	BUB1	853100	2.717408	1.704353	10.391
CLA4	855418	RAD52	854976	2.934259	1.743535	10.151
CTF8	856598	PPH3	851647	1.647558	1.81721	9.9677
UME6	851788	HCM1	850429	12.326609	1.67866	9.9051
CBF1	853523	RAD51	856831	1.2235	2.554082	9.6595
CLN1	855239	NNF2	852980	1.673943	1.714016	9.5616
SWI4	856847	PTC1	851558	11.442801	1.177929	9.2548
RAD52	854976	CKA1	854776	1.049396	2.577751	8.9598
SWR1	851934	UME6	851788	10.218752	0.138917	8.9488
CLA4	855418	PTC1	851558	4.537715	1.440796	8.9227
DAL82	855402	CTK1	853718	1.262592	2.111369	8.9046
CTK3	854928	RAD51	856831	2.343737	1.52016	8.8766
PHO80	854161	BUB1	853100	5.900261	1.1907	8.8611
RCS1		EDS1	852321	3.068292	1.511195	8.7947
CTF18	855102	RAD51	856831	1.522986	1.494816	8.7927
CLN2	855819	RCS1		1.518016	1.49533	8.7688
RCS1		PTC1	851558	2.564243	1.459523	8.7246
RCS1		SWR1	851934	2.245096	1.575056	8.6921
CTF8	856598	RAD51	856831	1.216346	2.110357	8.6759
