PID	Pathway Name	Corrected Pathway Name	Reviewed By	Curated By	Revision Date
a4b7_pathway	a4b7 Integrin signaling		"David Rose, Francisco Sanchez-Madrid, Maria Mittelbrunn"	Shiva Krupa	18-Sep-10
a6b1_a6b4_integrin_pathway	a6b1 and a6b4 Integrin signaling		"Arthur Mercurio,"	Shiva Krupa	9-Mar-09
ALK1_2pathway	ALK1 pathway		"Ye-Guang Chen, Kohei Miyazono"	Kira Anthony	8-Feb-10
ALK1pathway	ALK1 signaling events		"Ye-Guang Chen, Kohei Miyazono"	Kira Anthony	8-Feb-10
ALK2pathway	ALK2 signaling events		"Ye-Guang Chen, Kohei Miyazono "	Kira Anthony	8-Feb-10
Integrin_a4b1_pathway	Alpha4 beta1 integrin signaling events		"Maria Mittelbrunn, Francisco Sanchez-Madrid, Lawrence Goldfinger"	Mhairi Skinner	18-Sep-10
Integrin4_pathway	Alpha6 beta4 integrin-ligand interactions		Arthur Mercurio	Mhairi Skinner	18-Sep-10
Integrin_a9b1_pathway	Alpha9 beta1 integrin signaling events		Dean Sheppard	Mhairi Skinner	18-Sep-10
Integrin7_pathway	AlphaE beta7 integrin cell surface interactions		David Calderwood	Mhairi Skinner	18-Sep-10
alphaSynuclein_pathway	Alpha-synuclein signaling		Mark Cookson	Shiva Krupa	18-Sep-10
aMb2_neutrophils_pathway	amb2 Integrin signaling		Li Zhang	Shiva Krupa	10-Jan-11
androgen_pathway	Androgen-mediated signaling		"William H. Walker, Bruce Gottlieb, Frank Claessens "	Kira Anthony	9-Mar-09
AngiopoietinReceptor_Pathway	Angiopoietin receptor Tie2-mediated signaling		"Andreas Papapetropoulos, Dan Dumont, "	Shiva Krupa	13-Oct-08
AP1_pathway	AP-1 transcription factor network		"Axel Behrens, Erwin Wagner, Pasquale Verde"	Mhairi Skinner	18-Sep-10
arf_3pathway	Arf1 pathway		"Jennifer Lippincott-Schwartz, Anne Spang, Cathy Jackson, "	Shiva Krupa	18-Sep-10
Arf6downstreampathway	Arf6 downstream pathway		"Crislyn D`Souza-Schorey, Jim Casanova, Philippe Chavrier"	Mhairi Skinner	13-Apr-09
Arf6_pathway	Arf6 signaling events		"Jim Casanova, Crislyn D`Souza-Schorey, Philippe Chavrier"	Mhairi Skinner	18-Sep-10
Arf6_traffickingpathway	Arf6 trafficking events		"Crislyn D`Souza-Schorey, Jim Casanova, Philippe Chavrier"	Mhairi Skinner	11-May-09
ATF2_pathway	ATF-2 transcription factor network		"Zeev Ronai, Eric Lau"	Mhairi Skinner	18-Sep-10
atm_pathway	ATM pathway		"David Chen, Patrick Concannon"	Kira Anthony	18-Sep-10
atr_pathway	ATR signaling pathway		"Aziz Sancar, Jiri Lukas"	Kira Anthony	18-Sep-10
NFkappaBatypicalPathway	Atypical NF-kappaB pathway	Alternative NF-kappaB pathway	"Neil Perkins, "	Shiva Krupa	11-Feb-08
aurora_A_pathway	Aurora A signaling		"Claude Prigent, Mar Carmena, "	Shiva Krupa	11-Jan-10
aurora_B_pathway	Aurora B signaling		"Claude Prigent, Mar Carmena, "	Shiva Krupa	8-Jun-09
aurora_C_pathway	Aurora C signaling		"Claude Prigent, Mar Carmena, "	Shiva Krupa	9-Mar-09
bard1pathway2	BARD1 signaling events		"Richard Baer, Beric Henderson, "	Shiva Krupa	8-Jun-10
bcr_5pathway	BCR signaling pathway		"Stephen Gauld, Maggie Harnett, Ashok Bhandaranayake"	Shiva Krupa	12-Jul-10
Integrin1_pathway	Beta1 integrin cell surface interactions		"John Lamar, David Calderwood"	Mhairi Skinner	18-Sep-10
Integrin2_pathway	Beta2 integrin cell surface interactions		Li Zhang	Mhairi Skinner	18-Sep-10
Integrin3_pathway	Beta3 integrin cell surface interactions		Dwayne Stupack	Mhairi Skinner	18-Sep-10
Integrin5_pathway	Beta5 beta6 beta7 and beta8 integrin cell surface interactions		"David Calderwood, Dwayne Stupack"	Mhairi Skinner	18-Sep-10
BMPpathway	BMP receptor signaling		"Di Chen, Anja Nohe"	Kira Anthony	12-Apr-10
NFAT_TFpathway	Calcineurin-regulated NFAT-dependent transcription in lymphocytes		Fernando Macian	Kira Anthony	16-Sep-10
TCRCalciumPathway	Calcium signaling in the CD4+ TCR pathway	Calcium signaling in the CD4 TCR pathway	"Amnon Altman, Anjana Rao, Mark Sundrud, Victor Tybulewicz, Weiguo Zhang "	Kira Anthony	NA
NFkappaBcanonicalPathway	Canonical NF-kappaB pathway		Neil Perkins	Shiva Krupa	4-Jan-08
wnt_canonical_pathway	Canonical Wnt signaling pathway		"Randall Widelitz, Randall Moon, Akira Kikuchi"	Mhairi Skinner	8-Jun-10
caspase_pathway	Caspase Cascade in Apoptosis		"Guy Salvesen, Christine Hawkins"	Serena Tan	8-Jun-10
CD40_pathway	CD40/CD40L signaling	CD40CD40L signaling	"Aristides G. Eliopoulos, Elli Kamper"	Kira Anthony	7-Dec-09
CDC42_pathway	CDC42 signaling events		"Richard Cerione, Sandrine Etienne-Manneville"	Mhairi Skinner	18-Sep-10
ceramide_pathway	Ceramide signaling pathway		"Lina M. Obeid, Yusuf A. Hannun, Usha Acharya,"	Shiva Krupa	9-Aug-10
circadianpathway3	Circadian rhythm pathway		"Ueli Schibler, Jan Schoening"	Shiva Krupa	18-Sep-10
PI3KCIpathway	Class I PI3K signaling events		"Jongsun Park, Nicholas Leslie"	Kira Anthony	18-Sep-10
PI3KCIaktpathway	Class I PI3K signaling events mediated by Akt		"Jongsun Park, Nicholas Leslie"	Kira Anthony	10-Mar-10
PI3KCIBpathway	Class IB PI3K non-lipid kinase events		"Klaus Okkenhaug, Jongsun Park, Nicholas Leslie"	Kira Anthony	13-Jul-09
cmyb_pathway	C-MYB transcription factor network		"Shunsuke Ishii, Armando Gabrielli"	Kira Anthony	18-Sep-10
myc_pathway	C-MYC pathway		"Mikhail A. Nikiforov, Bernhard Luescher"	Kira Anthony	10-May-10
ar_pathway	Coregulation of Androgen receptor activity		"Bruce Gottlieb, Frank Claessens "	Kira Anthony	13-Apr-09
cxcr3pathway	CXCR3-mediated signaling events		"Fabio Marra, Steven G. Kelsen"	Kira Anthony	18-Sep-10
cxcr4_pathway	CXCR4-mediated signaling events		"Laura Patrussi, Magdalena Kucia"	Kira Anthony	18-Sep-10
betacatenin_deg_pathway	Degradation of beta catenin		"Randall Widelitz, Randall Moon, Akira Kikuchi, Mireia Dunach"	Mhairi Skinner	18-Sep-10
p53downstreampathway	Direct p53 effectors		"Arnold J. Levine, Andreas Villunger, Jean-Christophe Marine"	Kira Anthony	18-Sep-10
dnapk_pathway	DNA-PK pathway in nonhomologous end joining		"Susan Lees-Miller, Lawrence Povirk"	Kira Anthony	18-Sep-10
CD8TCRdownstreampathway	Downstream signaling in naìve CD8+ T cells	Downstream signaling in nave CD8 T cells	"Alberto Anel, Nathalie Auphan-Anezin, Matthew Pipkin, Anjana Rao, Weiguo Zhang"	Kira Anthony	13-Mar-07
e2f_pathway	E2F transcription factor network		"Hans Rotheneder, James DeGregori"	Kira Anthony	18-Sep-10
Ecadherin_1_pathway	E-cadherin signaling events		"Alpha Yap, Frans Van Roy, Enzo Calautti, Daniel Bikle, Dave Bryant, Charles Yeaman"	Mhairi Skinner	13-Jul-09
Ecadherin_keratinocyte_pathway	E-cadherin signaling in keratinocytes		"Enzo Calautti, Daniel Bikle"	Mhairi Skinner	16-Sep-10
Ecadherin_nascentaj_pathway	E-cadherin signaling in the nascent adherens junction		"Alpha Yap, Frans Van Roy"	Mhairi Skinner	18-Sep-10
BotulinumToxinPathway	Effects of Botulinum toxin		"Bernard Poulain, Andreas Rummel"	Shiva Krupa	13-Apr-09
erbb1_receptor_proximal_pathway	EGF receptor (ErbB1) signaling pathway		"Julian Downward, Benjamin Margolis, Ami Citri, Alan Wells"	Mhairi Skinner	18-Sep-10
ET_EGFRpathway	EGFR-dependent Endothelin signaling events		"Angela Clerk, Takanobu Yoshimoto"	Kira Anthony and Shiva Krupa	11-May-09
toll_endogenous_pathway	Endogenous TLR signaling		"Clett Erridge, Kim S. Midwood"	Kira Anthony	18-Sep-10
endothelinpathway	Endothelins		"Angela Clerk, Takanobu Yoshimoto"	Kira Anthony and Shiva Krupa	16-Sep-10
